,Run_ID,SHD,Error,n_latents
0,3,120.0,,2
1,9,138.0,,1
2,6,154.0,,3
3,8,139.0,,1
4,10,170.0,,8
5,151,405.0,,0
6,5,156.0,,2
7,7,182.0,,5
8,4,157.0,,3
9,12,117.0,,2
10,13,109.0,,3
11,11,140.0,,7
12,16,110.0,,3
13,14,151.0,,10
14,18,155.0,,4
15,17,136.0,,3
16,15,171.0,,2
17,19,130.0,,1
18,153,125.0,,2
19,20,161.0,,4
20,21,177.0,,5
21,152,136.0,,6
22,22,167.0,,5
23,23,159.0,,4
24,26,123.0,,4
25,25,156.0,,4
26,30,,RecursionError: maximum recursion depth exceeded while calling a Python object,
27,24,174.0,,3
28,154,100.0,,6
29,155,132.0,,1
30,27,139.0,,2
31,29,112.0,,2
32,28,164.0,,4
33,32,109.0,,3
34,156,136.0,,2
35,33,132.0,,5
36,37,129.0,,2
37,35,143.0,,5
38,36,108.0,,10
39,40,405.0,,0
40,158,130.0,,2
41,38,120.0,,7
42,39,131.0,,1
43,44,,RecursionError: maximum recursion depth exceeded while calling a Python object,
44,157,133.0,,6
45,41,120.0,,3
46,159,118.0,,1
47,42,156.0,,3
48,43,138.0,,1
49,45,131.0,,1
50,160,116.0,,2
51,48,115.0,,7
52,47,138.0,,2
53,46,140.0,,6
54,50,136.0,,2
55,51,405.0,,0
56,49,186.0,,6
57,162,113.0,,4
58,52,152.0,,6
59,53,148.0,,4
60,54,121.0,,10
61,56,111.0,,3
62,163,133.0,,3
63,55,130.0,,3
64,57,132.0,,6
65,161,112.0,,6
66,59,125.0,,1
67,58,152.0,,7
68,60,114.0,,2
69,164,167.0,,5
70,63,130.0,,5
71,62,129.0,,1
72,61,143.0,,2
73,66,139.0,,3
74,64,130.0,,3
75,165,121.0,,2
76,65,176.0,,5
77,67,115.0,,6
78,69,140.0,,1
79,72,405.0,,0
80,70,130.0,,3
81,166,162.0,,10
82,167,139.0,,5
83,68,174.0,,3
84,71,131.0,,3
85,73,121.0,,8
86,168,132.0,,1
87,74,126.0,,4
88,169,133.0,,1
89,78,100.0,,10
90,79,134.0,,2
91,80,122.0,,2
92,76,127.0,,2
93,88,,RecursionError: maximum recursion depth exceeded while calling a Python object,
94,81,121.0,,10
95,82,166.0,,3
96,171,114.0,,5
97,83,171.0,,6
98,84,141.0,,2
99,170,144.0,,6
100,86,118.0,,6
101,85,135.0,,6
102,91,405.0,,0
103,87,137.0,,5
104,172,141.0,,2
105,90,147.0,,4
106,89,169.0,,2
107,92,114.0,,7
108,173,152.0,,6
109,94,128.0,,1
110,93,103.0,,9
111,96,131.0,,1
112,95,136.0,,3
113,97,136.0,,4
114,98,107.0,,9
115,174,135.0,,5
116,106,,RecursionError: maximum recursion depth exceeded while calling a Python object,
117,99,141.0,,4
118,175,115.0,,7
119,100,125.0,,3
120,101,139.0,,2
121,176,149.0,,4
122,103,150.0,,4
123,104,168.0,,5
124,105,160.0,,5
125,102,118.0,,6
126,108,98.0,,6
127,177,138.0,,3
128,107,141.0,,2
129,109,116.0,,2
130,110,130.0,,2
131,111,146.0,,4
132,112,149.0,,4
133,114,131.0,,3
134,179,135.0,,2
135,113,117.0,,5
136,178,150.0,,8
137,116,128.0,,3
138,117,145.0,,4
139,115,164.0,,4
140,118,117.0,,2
141,180,134.0,,1
142,181,113.0,,5
143,120,117.0,,3
144,121,128.0,,3
145,185,,RecursionError: maximum recursion depth exceeded while calling a Python object,
146,122,104.0,,5
147,119,126.0,,6
148,124,132.0,,3
149,126,131.0,,1
150,123,179.0,,7
151,125,154.0,,5
152,142,129.0,,5
153,140,109.0,,3
154,137,96.0,,9
155,135,117.0,,6
156,141,145.0,,6
157,136,158.0,,3
158,189,405.0,,0
159,139,128.0,,4
160,187,139.0,,1
161,143,142.0,,6
162,144,109.0,,6
163,190,143.0,,2
164,147,155.0,,5
165,146,133.0,,2
166,148,112.0,,4
167,145,183.0,,7
168,188,139.0,,7
169,149,139.0,,3
170,150,142.0,,5
171,191,128.0,,3
172,192,136.0,,2
173,193,138.0,,4
174,194,132.0,,1
175,196,125.0,,2
176,201,125.0,,3
177,202,118.0,,4
178,195,126.0,,6
179,197,129.0,,5
180,198,145.0,,7
181,203,108.0,,7
182,204,156.0,,7
183,199,156.0,,7
184,205,135.0,,5
185,200,158.0,,4
186,207,,RecursionError: maximum recursion depth exceeded while calling a Python object,
187,206,163.0,,5
188,209,,RecursionError: maximum recursion depth exceeded while calling a Python object,
189,208,125.0,,3
190,210,122.0,,3
191,214,107.0,,5
192,212,128.0,,2
193,216,145.0,,5
194,213,174.0,,5
195,215,169.0,,3
196,211,158.0,,5
197,218,130.0,,2
198,217,136.0,,2
199,219,134.0,,1
200,222,127.0,,1
201,220,169.0,,5
202,221,142.0,,5
203,224,137.0,,4
204,225,405.0,,0
205,223,154.0,,7
206,230,,RecursionError: maximum recursion depth exceeded while calling a Python object,
207,226,171.0,,4
208,227,139.0,,3
209,228,130.0,,1
210,229,114.0,,3
211,232,117.0,,7
212,231,123.0,,5
213,233,114.0,,4
214,235,102.0,,5
215,234,162.0,,3
216,236,113.0,,7
217,238,122.0,,3
218,237,166.0,,4
219,239,138.0,,1
220,242,111.0,,2
221,240,134.0,,1
222,241,157.0,,3
223,243,125.0,,3
224,244,111.0,,6
225,247,125.0,,4
226,245,134.0,,1
227,246,136.0,,6
228,248,150.0,,10
229,249,134.0,,1
230,250,111.0,,8
