Scenario,Method,Threshold,Sample_Size,n,F1_mean,F1_sd,SHD_mean,SHD_sd,F1_se,SHD_se
Fanning,LaHME,mild,10000,78,0.0,0.0,20.0,0.0,0.0,0.0
Fanning,LaHME,moderate,10000,78,0.0,0.0,20.0,0.0,0.0,0.0
Fanning,LaHME,symmetric,10000,76,0.07495579363428333,0.11120296996767348,19.30263157894737,1.107787426565286,0.012755855481859925,0.12707193271902806
Fanning,RLCD,mild,10000,75,0.5130744097007519,0.09179338241681191,31.12,5.814613463484028,0.010599386809634523,0.6714137296752251
Fanning,RLCD,moderate,10000,77,0.46846029890037566,0.08559563165068552,31.805194805194805,5.579659867578614,0.009754527525338954,0.635861254957966
Fanning,RLCD,symmetric,10000,77,0.5757940249462579,0.11969852870556842,24.38961038961039,6.749572782105786,0.013640913332657097,0.7691852051050576
Latent_Hierarchical_Structure,LaHME,mild,10000,77,0.0,0.0,18.0,0.0,0.0,0.0
Latent_Hierarchical_Structure,LaHME,moderate,10000,77,0.0,0.0,18.0,0.0,0.0,0.0
Latent_Hierarchical_Structure,LaHME,symmetric,10000,77,0.32411631328479146,0.15546853954245551,15.623376623376624,1.9128303707702576,0.017717284387596247,0.21798725172248154
Latent_Hierarchical_Structure,RLCD,mild,10000,78,0.4967304925077296,0.08170373935124624,29.5,5.958187643906492,0.009251126767115219,0.6746319034319419
Latent_Hierarchical_Structure,RLCD,moderate,10000,78,0.4791053053394567,0.12605640563395154,24.243589743589745,6.341342185422634,0.014273077310613875,0.7180156122206348
Latent_Hierarchical_Structure,RLCD,symmetric,10000,77,0.4490979703425698,0.12731062176250726,30.98701298701299,7.821181608288426,0.014508391845490255,0.8913063646760673
Simple_Case_Tree,LaHME,mild,10000,78,0.3966450272771222,0.13323317656740638,13.282051282051283,0.787853172052141,0.015085686601340614,0.089206805299261
Simple_Case_Tree,LaHME,moderate,10000,78,0.38327153221294685,0.13357919599467327,12.820512820512821,1.0536712533912604,0.01512486558642683,0.1193047761753275
Simple_Case_Tree,LaHME,symmetric,10000,78,0.39705344252710606,0.1361082111348152,12.884615384615385,1.7505529310579455,0.015411220162645498,0.19821108808914192
Simple_Case_Tree,RLCD,mild,10000,78,0.526097539089717,0.12140580574255891,15.64102564102564,8.1431580060209,0.013746500565411952,0.9220310795628165
Simple_Case_Tree,RLCD,moderate,10000,78,0.5354106522202127,0.09137963399582637,14.217948717948717,3.6312047154694658,0.010346706096201294,0.4111529705603637
Simple_Case_Tree,RLCD,symmetric,10000,78,0.597617321575934,0.12800745873847194,12.307692307692308,4.976066595338005,0.014493990572878371,0.5634285926275312
